Doctor ID,Name,Specialization,Experience (Years),Hospital,Contact,Email
D0031,Kenneth Joseph,Cardiologist,40,Global Health Clinic,(504)365-9497x6947,mbishop@holmes-jackson.org
D0032,Danny Haley,General Physician,19,Metro Medical Center,(250)383-5017,patrickponce@whitney-gonzalez.com
D0033,Jeffrey Saunders,Neurologist,40,Medicare Hub,617-293-4090,colemanlogan@yahoo.com
D0034,Stacey Norris,Oncologist,38,Medicare Hub,060.521.7435,adamsmercedes@yahoo.com
D0035,Andrea Fox,Dermatologist,8,Sunrise Hospital,+1-789-978-8164,laurawilliamson@mcdonald.net
D0036,Travis Fuller,General Physician,11,Apollo Health,(380)478-7618x150,aprildaniels@le.com
D0037,Christopher Graham,Orthopedic,1,City Hospital,+1-152-362-1498x527,michael63@yahoo.com
D0038,Derek Dennis,Cardiologist,16,City Hospital,9731935051,ryanowen@carter.com
D0039,Brianna Murray,Dermatologist,6,Metro Medical Center,001-910-698-1472x08401,leon52@gmail.com
D0040,Fred Hooper,Neurologist,15,Global Health Clinic,151.253.6770x536,rbrown@martinez.com
D0041,Jacob Thompson,Orthopedic,21,Metro Medical Center,+1-721-222-3464x3470,odougherty@gmail.com
D0042,Timothy Ellis,Neurologist,1,City Hospital,001-577-999-0729x8483,bradybrooke@yahoo.com
D0043,Alexandra Robles,Pediatrician,17,City Hospital,994.491.7099,scottsarah@nelson.com
D0044,Darryl Williams,Orthopedic,36,Metro Medical Center,471.358.4458x61776,florescynthia@hotmail.com
D0045,Cynthia Cox,General Physician,27,Sunrise Hospital,(410)516-8104,ttorres@reeves.com
D0046,Larry Cooper,Orthopedic,1,Medicare Hub,(727)795-7912,mendezmichael@yahoo.com
D0047,John Crawford,Neurologist,3,Global Health Clinic,(711)993-2369x4669,jacqueline52@yahoo.com
D0048,Lindsey Scott,Cardiologist,25,Sunrise Hospital,510.732.8564x56295,zbrown@gill.com
D0049,Brent Williams,Orthopedic,24,City Hospital,(477)723-9492x29412,daughertyeileen@case.org
D0050,Scott Collins,Neurologist,8,Global Health Clinic,(773)929-4950,tjones@price.org
D0051,Scott Mcdonald,General Physician,21,Metro Medical Center,783-090-1083x3577,thomas79@perry.com
D0052,Kevin Burns,Neurologist,35,Apollo Health,+1-989-929-3105,yangpeter@yahoo.com
D0053,Catherine Davis,General Physician,37,Medicare Hub,928-652-1525,rebecca15@cortez.com
D0054,Stephanie Brown,Oncologist,7,Medicare Hub,380.681.8118,mckeedebra@trujillo.com
D0055,Mike Butler,General Physician,25,City Hospital,(211)287-5706,xwarren@hotmail.com
D0056,Alec Johnson,Orthopedic,31,Global Health Clinic,098.524.0110x90889,davidcarrillo@gmail.com
D0057,Jesus Gilbert,Neurologist,18,City Hospital,+1-077-868-0997x66148,lhoward@gmail.com
D0058,Stephen Patel,Oncologist,28,Metro Medical Center,001-461-661-0338x1912,thomas98@kaiser.biz
D0059,Angela Jacobs,Neurologist,39,Metro Medical Center,752-428-7769x358,patricia98@hotmail.com
D0060,Carrie Glenn,Dermatologist,39,Apollo Health,472.481.8927x65983,wernersusan@gmail.com
D0061,Nicholas Collins,Neurologist,6,Global Health Clinic,(288)098-3053x74849,danielle74@hughes.org
D0062,Brett Johnson,General Physician,12,Sunrise Hospital,001-075-373-4606,tracygibson@gmail.com
D0063,Lisa Dillon,Dermatologist,18,Apollo Health,+1-059-486-4303,ricky85@heath-jensen.com
D0064,Lori Wells,Oncologist,24,Sunrise Hospital,167.995.0404,joneschad@ramsey-archer.net
D0065,Amanda Romero,Dermatologist,29,Metro Medical Center,001-934-766-7293x2283,jennifer97@hotmail.com
D0066,Scott Estrada,Dermatologist,16,Global Health Clinic,(223)283-2424x6337,wilsonemily@gmail.com
D0067,Angela Sutton,General Physician,40,City Hospital,721.574.2590x382,yconley@gmail.com
D0068,Rachel Callahan,General Physician,26,Global Health Clinic,655.531.3853x4391,conwayjohn@lester.com
D0069,Manuel Turner,Cardiologist,13,Sunrise Hospital,594.069.8798x4876,paul50@yahoo.com
D0070,Jerry Jackson,Dermatologist,2,Metro Medical Center,(667)480-7081x90733,frodriguez@yahoo.com
D0071,Robert Martin,Pediatrician,6,Global Health Clinic,810.274.8396x4275,joybird@gmail.com
D0072,Caroline Floyd,Pediatrician,17,Sunrise Hospital,001-242-231-0589,cmartin@torres-dixon.org
D0073,Courtney Smith,Cardiologist,7,Apollo Health,5865515301,jimmyherrera@robertson-cabrera.info
D0074,Joshua Moore,Orthopedic,18,Metro Medical Center,168.082.8214x9677,gcoleman@price-bates.biz
D0075,Jack Smith,General Physician,23,City Hospital,720.131.0687,jacob20@martinez.com
D0076,Michael James,Oncologist,38,Sunrise Hospital,225-593-0785,greenechristopher@yahoo.com
D0077,Jose Petersen,Neurologist,32,Medicare Hub,327-189-0313x059,joyceschroeder@gmail.com
D0078,Cynthia Gonzalez,General Physician,36,Sunrise Hospital,744.231.6688,taylor24@brown-garrett.biz
D0079,Craig Jones,Orthopedic,16,Apollo Health,366.518.0200x747,jsimmons@willis.com
D0080,Joshua Daniels,Dermatologist,28,Global Health Clinic,+1-925-223-4026x84077,john51@carey.info
D0081,Mary Lyons,Pediatrician,36,Global Health Clinic,(505)858-7106,henryrobin@gmail.com
D0082,Melissa Klein,Cardiologist,17,Apollo Health,+1-242-951-5260x5352,reyesterri@ellis-wheeler.com
D0083,Karen Martin,Oncologist,5,Sunrise Hospital,001-151-184-8462,dalexander@hernandez.info
D0084,Natalie Jackson,Pediatrician,4,Sunrise Hospital,(576)792-1865x4026,kelly18@yahoo.com
D0085,Denise Howard,General Physician,11,City Hospital,7353874170,bhoward@lang.com
D0086,Matthew Campbell,Cardiologist,10,Global Health Clinic,847-836-2286x627,mcdanieldaniel@reynolds.com
D0087,Marie Johnson,General Physician,24,Sunrise Hospital,+1-054-337-4237x267,lnovak@frey-jones.info
D0088,Brittany Grant,General Physician,20,Global Health Clinic,+1-099-075-0983,fgoodman@hotmail.com
D0089,Darrell Dixon,Oncologist,11,Apollo Health,+1-753-425-6543x12762,coopereugene@lopez.org
D0090,Kelly Meyer,Orthopedic,9,City Hospital,376.956.9263,cdavis@barron.com
D0091,Robert Scott,Neurologist,33,Sunrise Hospital,+1-950-009-0041x905,rowesherry@brown-norris.com
D0092,Danny Reyes,Neurologist,22,Sunrise Hospital,001-806-120-4488,sparkssusan@gray-johnson.org
D0093,Erik Davis,General Physician,7,Apollo Health,3565104345,powelldoris@gmail.com
D0094,Christopher Turner,Neurologist,19,Metro Medical Center,001-169-779-5089x839,heatherharris@gmail.com
D0095,David Moore,Cardiologist,14,Apollo Health,108-613-2739,sabrinaanderson@hotmail.com
D0096,Thomas Ochoa,Oncologist,28,Global Health Clinic,840-078-6813,lhart@young-rush.org
D0097,Marissa Collins,Oncologist,10,Apollo Health,499.536.7899,elizabeth89@griffin.com
D0098,Misty Moore,Neurologist,29,Sunrise Hospital,727.886.5642x2857,andrea94@gmail.com
D0099,Sara Moore,Dermatologist,7,Sunrise Hospital,490.366.6741x62315,turnerrobin@gmail.com
D0100,Mitchell Porter,Neurologist,26,Global Health Clinic,749-117-3904x025,nicholstara@gmail.com
